"","FIPS","long","lat","pc_turnout","pc_college","pc_homeownership","pc_income","Name","State","Result"
"1",1001,-86.641472,32.542207,0.516046272973225,0.483533911745499,0.37951301427372,8.68845041515067,"Autauga","AL","Republican"
"2",1003,-87.754736,30.654881,0.521597556937341,0.50553736340557,0.391570697965341,8.61315721696898,"Baldwin","AL","Republican"
"3",1005,-85.388993,31.863073,0.539498921122033,0.379585231359386,0.36256293454807,6.7424478542316,"Barbour","AL","Democratic"
"4",1007,-87.126855,32.996943,0.52778299230336,0.336024028533884,0.369250985545335,7.17082785808147,"Bibb","AL","Democratic"
"5",1009,-86.566214,33.97974,0.496449473273508,0.389153335934452,0.402184939523995,7.41556769410847,"Blount","AL","Republican"
"6",1011,-85.717786,32.101773,0.797425378412788,0.34149101711699,0.354647050502193,5.93733201301457,"Bullock","AL","Democratic"
"7",1013,-86.682302,31.751982,0.563729452977634,0.382646187011587,0.358057127458906,6.70964699541902,"Butler","AL","Democratic"
"8",1015,-85.825619,33.774548,0.414835132769186,0.432716661803327,0.321237233732127,7.8223869273417,"Calhoun","AL","Republican"
"9",1017,-85.389802,32.915184,0.435175364810006,0.383717953406722,0.369454705043338,7.41165929122627,"Chambers","AL","Democratic"
"10",1019,-85.60575,34.187088,0.480483618180461,0.36234047316964,0.378013284573476,7.61094111500858,"Cherokee","AL","Democratic"
"11",1021,-86.718688,32.844987,0.536258293617419,0.38566489113167,0.401270909260817,7.37052611905429,"Chilton","AL","Republican"
"12",1023,-88.265781,32.024863,0.596554850407978,0.372801450589302,0.405621033544878,7.10961015412511,"Choctaw","AL","Democratic"
"13",1025,-87.835981,31.677523,0.585428791039859,0.40902602393763,0.386021741517514,7.66695948171736,"Clarke","AL","Democratic"
"14",1027,-85.859858,33.268721,0.602853246617015,0.393580195111717,0.378055176754432,6.58197839085283,"Clay","AL","Democratic"
"15",1029,-85.517385,33.67087,0.511990950226244,0.322058823529412,0.389027149321267,7.14242081447964,"Cleburne","AL","Republican"
"16",1031,-85.98913,31.402888,0.495635126137457,0.474957460975068,0.362469482873419,8.12310423910631,"Coffee","AL","Republican"
